time_step,SI,S2,S3,SY1_G,SY1_L,SY2_G,SY2_L,SY3_G,SY3L,BawY,BY_G,BY_L
207,3.90884,0.464396,0.464396,0,0.00390884,0,0.000464396,0,0.000464396,9.28792,0,0.00928792
208,4.73884,0.57437,0.57437,0,0.00473884,0,0.00057437,0,0.00057437,11.4874,0,0.0114874
209,8.7229,0.91721,2.67467,0,0.0087229,0,0.00091721,0,0.00267467,16.3303,0,0.0163303
210,12.9126,17.1045,17.1045,0,0.0129126,0,0.0171045,0,0.0171045,17.1045,0,0.0171045
211,13.1026,16.1901,16.1901,0,0.0131026,0,0.0161901,0,0.0161901,16.1901,0,0.0161901
212,13.433,14.8089,14.8089,0,0.013433,0,0.0148089,0,0.0148089,14.8089,0,0.0148089
213,12.6468,13.5664,13.5664,0,0.0126468,0,0.0135664,0,0.0135664,13.5664,0,0.0135664
214,11.6603,11.9918,11.9918,0,0.0116603,0,0.0119918,0,0.0119918,11.9918,0,0.0119918
215,10.367,10.367,10.367,0,0.010367,0,0.010367,0,0.010367,10.367,0,0.010367
216,8.23859,8.23859,8.23859,0,0.00823859,0,0.00823859,0,0.00823859,8.23859,0,0.00823859
217,6.49464,6.49464,6.49464,0,0.00649464,0,0.00649464,0,0.00649464,6.49464,0,0.00649464
218,5.69574,5.69574,5.69574,0,0.00569574,0,0.00569574,0,0.00569574,5.69574,0,0.00569574
219,5.31502,5.31502,5.31502,0,0.00531502,0,0.00531502,0,0.00531502,5.31502,0,0.00531502
220,5.22509,5.22509,5.22509,0,0.00522509,0,0.00522509,0,0.00522509,5.22509,0,0.00522509
221,5.44468,5.44468,5.44468,0,0.00544468,0,0.00544468,0,0.00544468,5.44468,0,0.00544468
222,6.81615,6.81615,6.81615,0,0.00681615,0,0.00681615,0,0.00681615,6.81615,0,0.00681615
223,8.08889,8.08889,8.08889,0,0.00808889,0,0.00808889,0,0.00808889,8.08889,0,0.00808889
224,2.54369,1.86502,1.86502,0,0.00254369,0,0.00186502,0,0.00186502,1.86502,0,0.00186502
225,1.13655,0,0,0,0.00113655,0,0,0,0,-3.91366,0.00391366,0
226,0.124598,0,0,0,0.000124598,0,0,0,0,-9.96768,0.00996768,0
227,-2.97889,0,0,0.00297889,0,0,0,0,0,-12.5075,0.0125075,0
228,-4.31082,0,-0.666018,0.00431082,0,0,0,0.000666018,0,-11.4772,0.0114772,0
229,-4.07761,0,-2.58003,0.00407761,0,0,0,0.00258003,0,-6.75879,0.00675879,0
230,0.37191,0.0164595,0.0164595,0,0.00037191,0,1.65E-05,0,1.65E-05,0.329189,0,0.000329189
231,3.44313,0.427625,0.427625,0,0.00344313,0,0.000427625,0,0.000427625,8.5525,0,0.0085525
232,4.80438,0.582314,0.582314,0,0.00480438,0,0.000582314,0,0.000582314,11.6463,0,0.0116463
233,7.65093,0.784513,1.35321,0,0.00765093,0,0.000784513,0,0.00135321,15.6903,0,0.0156903
234,12.1229,10.6908,13.0517,0,0.0121229,0,0.0106908,0,0.0130517,16.5574,0,0.0165574
235,12.1192,15.7607,15.7607,0,0.0121192,0,0.0157607,0,0.0157607,15.7607,0,0.0157607
236,12.4437,14.6598,14.6598,0,0.0124437,0,0.0146598,0,0.0146598,14.6598,0,0.0146598
237,12.832,13.765,13.765,0,0.012832,0,0.013765,0,0.013765,13.765,0,0.013765
