"time_step,me,e,d,S1_G,S1_L,S2_G,S2_L,l,S3_G,S3_L,B_gen,B_L"
"115,13.481,2.91036,0.67405,0,0.00291036,0,0.00067405,0.67405,0,0.00067405,0,0.013481"
"116,6.281,3.44335,0.31405,0,0.00344335,0,0.00031405,0.31405,0,0.00031405,0,0.006281"
"117,4.172,1.2802,0.2086,0,0.0012802,0,0.0002086,0.2086,0,0.0002086,0,0.004172"
"118,5.523,1.76632,0.27615,0,0.00176632,0,0.00027615,0.743985,0,0.000743985,0,0.005523"
"119,6.482,2.5186,0.3241,0,0.0025186,0,0.0003241,1.37326,0,0.00137326,0,0.006482"
"120,6.588,2.76045,0.3294,0,0.00276045,0,0.0003294,2.67014,0,0.00267014,0,0.006588"
"121,6.957,2.68295,0.34785,0,0.00268295,0,0.00034785,2.68295,0,0.00268295,0,0.006957"
"122,5.611,2.6736,0.28055,0,0.0026736,0,0.00028055,2.6736,0,0.0026736,0,0.005611"
"123,5.5,2.802,0.275,0,0.002802,0,0.000275,2.56355,0,0.00256355,0,0.0055"
"124,4.65,3.0141,1.5986,0,0.0030141,0,0.0015986,2.27943,0,0.00227943,0,0.00465"
"125,3.199,2.5419,3.199,0,0.0025419,0,0.003199,1.59892,0,0.00159892,0,0.003199"
"126,-2.19,3.651,0,0,0.003651,0,0,0,0,0,0.00219,0"
"127,4.519,5.63952,2.54252,0,0.00563952,0,0.00254252,1.10113,0,0.00110113,0,0.004519"
"128,-28.324,-11.1646,0,0.0111646,0,0,0,-1.61765,0.00161765,0,0.028324,0"
"129,-23.448,-14.6984,0,0.0146984,0,0,0,-16.4443,0.0164443,0,0.023448,0"
"130,-23.618,-21.4159,-6.6514,0.0214159,0,0.0066514,0,-10.8202,0.0108202,0,0.023618,0"
"131,-38.514,-35.2599,-37.6657,0.0352599,0,0.0376657,0,-33.1436,0.0331436,0,0.038514,0"
"132,-43.091,-39.344,-43.0486,0.039344,0,0.0430486,0,-40.9791,0.0409791,0,0.043091,0"
"133,-29.297,-30.9905,-29.2949,0.0309905,0,0.0292949,0,-28.829,0.028829,0,0.029297,0"
"134,-8.44788,-10.0826,-8.44778,0.0100826,0,0.00844778,0,-5.53708,0.00553708,0,0.00844788,0"
"135,-7.994,-6.10786,-7.99399,0.00610786,0,0.00799399,0,-7.72398,0.00772398,0,0.007994,0"
